julian_date,date,time,x,y,z,vx,vy,vz,range,radial_velocity
2460140.550361898,2023-Jul-15,01:12:31,-16502.20213934125,-388440.6458433749,-29513.704000358182,-9.403321689503963,1.399502396392545,1.19419385965166,389909.6263783271,-1.424988305612705
2460140.55383412,2023-Jul-15,01:17:31,-16229.88796459373,-388021.52216059,-29548.95381532804,-8.751178427456525,1.394535649656655,1.155756826133508,389483.3136281256,-1.416999779481671
2460140.557306343,2023-Jul-15,01:22:31,-15977.11994883997,-387603.99642984,-29583.04708895506,-8.10018375480838,1.388849078174019,1.117087675736964,389059.4852786787,-1.408423515905522
2460140.560778565,2023-Jul-15,01:27:31,-15743.86908056133,-387188.28496598935,-29615.97654618419,-7.449975025008824,1.382439921359782,1.078165534775818,388638.3196434884,-1.399245945032634
2460140.564250787,2023-Jul-15,01:32:31,-15530.117194154709,-386774.605192358,-29647.73427610545,-6.800191647063181,1.375303548353991,1.038968876301301,388219.9993682386,-1.389451748538596
2460140.567723009,2023-Jul-15,01:37:31,-15335.856924091971,-386363.176204008,-29678.31171140471,-6.150474032207421,1.367433441197548,19.989509117425776,387804.7119621999,-1.379023811875167
2460140.571195231,2023-Jul-15,01:42:31,-15161.09169055745,-385954.2193380042,-29707.69960581438,-5.500462547508488,1.358821165124656,19.193244848556578,387392.6503457791,-1.367943164313661
2460140.574667454,2023-Jul-15,01:47:31,-15005.83571646116,-385547.95875455753,-29735.888009411887,-4.849796469423644,1.349456325655388,18.390106875486943,386984.0134179496,-1.356188906266868
2460140.578139676,2023-Jul-15,01:52:31,-14870.11407593205,-385144.6220330783,-29762.86624159303,-4.198112930373995,1.339326511998557,17.579598521483252,386579.00664747553,-1.343738123206513
2460140.581611898,2023-Jul-15,01:57:31,-14753.96277460644,-384744.44078734494,-29788.6228615338,-3.545045851331667,1.32841722609206,16.761202534282837,386177.84269207885,-1.330565785314253
2460140.58508412,2023-Jul-15,02:02:31,-14657.428862237948,-384347.6513042209,-29813.145635928548,-2.890224853287906,1.316711796411156,15.934379195793724,385780.74204997794,-1.316644631809455
2460140.588556343,2023-Jul-15,02:07:31,-14580.57057837077,-383954.49521064584,-29836.42150377182,-2.233274140259125,1.304191275460395,15.098564267361004,385387.9337485846,-1.30194503868206
2460140.592028565,2023-Jul-15,02:12:31,-14523.45753204566,-383565.2201739897,-29858.43653792317,-1.573811346198002,1.290834319627165,14.253166751480807,384999.65607555484,-1.286434868318863
2460140.595500787,2023-Jul-15,02:17:31,-14486.17091673898,-383180.0806412907,-29879.175903163363,-18.22892675608385,1.276617049808304,13.397566448258702,384616.1573578874,-1.270079299240735
2460140.598973009,2023-Jul-15,02:22:31,-14468.803761926622,-382799.3386235086,-29898.62381041553,-4.915599298103856,1.261512890922599,12.531111282115992,384237.6967954257,-1.252840633863758
2460140.602445231,2023-Jul-15,02:27:31,-14471.4612233239,-382423.26453093474,-29916.763466769098,8.471945028269756,1.245492388054448,11.653114369619043,383864.54535521,-1.234678081818138
2460140.605917454,2023-Jul-15,02:32:31,-14494.260912951831,-382052.1380684479,-29933.57702088755,1.097106500573529,1.228522996643244,10.762850798975032,383496.9867356855,-1.215547516026395
2460140.609389676,2023-Jul-15,02:37:31,-14537.333272426931,-381686.24919712986,-29949.04550334983,1.775182147252997,1.210568843560651,9.859554081131037,383135.3184077512,-1.195401198141867
2460140.612861898,2023-Jul-15,02:42:31,-14600.821991271248,-381325.8991727976,-29963.148761395343,2.458273288372902,1.191590455490219,8.942412233094998,382779.85274366377,-1.17418746952036
2460140.61633412,2023-Jul-15,02:47:31,-14684.88447353471,-380971.4016713663,-29975.86538748821,3.146845415348436,1.171544450324484,8.010563444275054,382430.918244296,-1.151850403171567
2460140.619806343,2023-Jul-15,02:52:31,-14789.69235602642,-380623.0840129571,-29987.17264103412,3.841382194784597,1.150383186571485,7.063091270557908,382088.8608773143,-1.128329411395993
2460140.623278565,2023-Jul-15,02:57:31,-14915.43208192367,-380281.2884982054,-29997.04636249502,4.542387382129437,1.128054364874174,6.099019292137576,381754.0455404756,-1.103558802900897
2460140.626750787,2023-Jul-15,03:02:31,-15062.30553398134,-379946.3738721513,-30005.46087904228,5.250386884119175,1.104500574692397,5.117305161059326,381426.8576662625,-1.077467282108834
2460140.630223009,2023-Jul-15,03:07:31,-15230.530732059651,-379618.7169333585,-30012.388900771333,5.965930987281081,1.079658777936144,4.116833952585452,381107.7049864522,-1.049977382082432
2460140.633695231,2023-Jul-15,03:12:31,-15420.342600231721,-379298.7143085968,-30017.80140635907,6.689596771285712,1.053459719823125,3.096410720448994,380797.01947800844,-1.021004820941887
2460140.637167454,2023-Jul-15,03:17:31,-15631.993809316631,-378986.7844166013,-30021.66751688562,7.421990727532152,1.025827255404261,2.054752139388206,380495.2595149963,9.90457769788233
2460140.640639676,2023-Jul-15,03:22:31,-15865.75570132169,-378683.3696482146,-30023.95435635129,8.163751604957746,-9.966775779822404,14.857156477345088,380202.91225514386,9.582360178914525
2460140.644111898,2023-Jul-15,03:27:31,-16121.919302959559,-378388.9387947411,-30024.626897198534,8.915553506609166,-9.659183329462396,-19.58078297573884,379920.4962943397,9.242300181640589
